"DBH","HSB","p_mort","intensity"
10,7.63312885971006,0.753693636209954,21551.6337990015
20,7.63312885971006,0.586959416022941,21551.6337990015
30,7.63312885971006,0.397572462598199,21551.6337990015
40,7.63312885971006,0.234586795536499,21551.6337990015
50,7.63312885971006,0.124598052314817,21551.6337990015
60,7.63312885971006,0.062001476540668,21551.6337990015
70,7.63312885971006,0.0297827636882222,21551.6337990015
80,7.63312885971006,0.0140554461176113,21551.6337990015
90,7.63312885971006,0.00657691941304412,21551.6337990015
